video_id	video_title	video_description	video_thumbnail
x6j-GFEA6m8	(충격 고백)개통령 아들이 고양이를 좋아하는 이유 최초공개 [안고독한 훈련사 EP.2]	형욱의 일기  ✏️ 주운이의 속마음을 들어보았다. 앞으로는 강아지 뿐만아니라 주운이의 마음도 아는 멋진 훈련사, 멋진 아빠가 될 ...	https://i.ytimg.com/vi/x6j-GFEA6m8/hqdefault.jpg
kTzt1mISKuQ	강형욱 반려견 운동루틴 최초공개	매직이는 단백질 그만 먹여도 될 것 같은데요... 매직이가 환장한 프로틴 드링크 맛집은 닥터뉴토 ☞ https://bit.ly/45l4tCm - 국내 ...	https://i.ytimg.com/vi/kTzt1mISKuQ/hqdefault.jpg
OM1QaXiWlDk	생긴 건 무서운데 성격은 리트리버 뺨치는 겉바속촉 포인터 | 견종백과 포인터편	오늘 견종백과로 만나볼 친구는 저먼 포인터입니다   우리 포인터는요 생긴 것과 달리 성격도 짱 좋고요 장난기도 짱 많아요 그냥 운동 ...	https://i.ytimg.com/vi/OM1QaXiWlDk/hqdefault.jpg
ckc4TbdhAk8	손발 무는 강아지, 못 하게만하면 더 큰 문제온다(올바른 터그놀이로 대체하기)│강형욱의 멍스쿨 초보 보호자	유료광고포함 [Eng sub/日本語字幕] 손발 무는 강아지. 그냥 못 하게만 하면 더 큰 문제가 올 수 있다는 걸 아시나요? 올바른 터그놀이 ...	https://i.ytimg.com/vi/ckc4TbdhAk8/hqdefault.jpg
GNgr4d5kboI	사모예드 대형견&amp;파워  편 (폭풍성장,전력질주)｜강형욱의 견종백과 X 극한견주 솜이 X 백곰이	[Eng sub/日本語字幕] 웹툰 '극한견주'의 마일로 작가님과 솜이, 백곰이 보호자님이 견종백과를 찾아주셨어요 'ㅅ' 매일 아침 다른 ...	https://i.ytimg.com/vi/GNgr4d5kboI/hqdefault.jpg
ULZh9W3bfbw	강형욱한테 칭찬받은 정채연의 육아 비법 [강형욱의개스트쇼] EP.7	예쁜 애 옆에 예쁜 애 나이스한 개♥♥ 양치 보고 힐링하세요 #강형욱 #정채연 #강아지 #양치 #반려견 #토크쇼 Copyright c 2023 ...	https://i.ytimg.com/vi/ULZh9W3bfbw/hqdefault.jpg
zYT6VjJlDDE	내 새끼 자랑에 입 터진 안소희. 강형욱 상대로 강아지 자랑 배틀 뜸 [강형욱의개스트쇼] EP.2	이 외에 자랑 21451963개 더 있었음 #강형욱 #안소희 #강아지 #카이 #반려견 #토크쇼 Copyright c 2022 Studio Episode - All ...	https://i.ytimg.com/vi/zYT6VjJlDDE/hqdefault.jpg
VWXGWWHJdFU	드디어 만난 강형욱과 박완규, 페이스아이디 풀리나 확인해봤습니다 [강형욱의개스트쇼] EP.6	다음번엔 외래종도 만나보겠습니다 #강형욱 #박완규 #장모종 #단모종 #반려견 #토크쇼 Copyright c 2023 Studio Episode - All ...	https://i.ytimg.com/vi/VWXGWWHJdFU/hqdefault.jpg
QROZJzMOYlU	산책이 어색한 콩이를 위한 교육!｜반려견 기초 상식	유료광고포함 강형욱 훈련사님이 알려주는 콩이를 위한 산책교육! #철부지콩이 #노견파이브 #김영희 #세나개본방사수 ▷보듬 폴딩 ...	https://i.ytimg.com/vi/QROZJzMOYlU/hqdefault.jpg
ghqEL4cP5yc	이라면 보호자가 악마일 가능성 58000% | 견종백과 슈나우저편	오늘 견종백과로 만나볼 친구는 슈나우저입니다! 악마견에 대한 오해는 멈춰! 그냥 튼튼했을 뿐이라고요 오히려 보호자님 톤에 ...	https://i.ytimg.com/vi/ghqEL4cP5yc/hqdefault.jpg
THoHZZQ2ibw	코카 스파니엘 식욕&amp;성격 편(휴지의 비명,감정공감 최고)｜강형욱의 견종백과 X 이승인 누가 X 하늘이	[Eng sub/日本語字幕] 아메리칸 코카 스파니엘 누가 보호자님과 하늘이 보호자님이 견종백과를 찾아주셨어요 'ㅅ' 코카 스파니엘과 ...	https://i.ytimg.com/vi/THoHZZQ2ibw/hqdefault.jpg
